itemid,appno,docname,country_name,country_code,articles,year,judgement_date,applicant_type,has_violation,violation_count,no_violation_count,violated_articles,no_violation_articles,has_mixed_decision,judge_president,judge_count,judge_names_list
001-110809,41558/05,CASE OF GLOTOV v. RUSSIA,Russian Federation,ru,3,2012,10/05/2012 00:00:00,Individual,True,1,0,3,,False,Nina Vajić,8,Nina Vajić|Anatoly Kovler|Elisabeth Steiner|Mirjana Lazarova Trajkovska|Julia Laffranque|Linos-Alexandre Sicilianos|Erik Møse|André Wampach
001-57991,22070/93,CASE OF BOUGHANEMI v. FRANCE,France,fr,8,1996,24/04/1996 00:00:00,Individual,False,0,1,,8,False,MrR. Ryssdal,1,MrR. Ryssdal
001-57801,18020/91,CASE OF X v. FRANCE,France,fr,"6, 41",1992,31/03/1992 00:00:00,Individual,True,1,0,6-1,,True,Mr R. Ryssdal,1,Mr R. Ryssdal
001-98443,20161/06,CASE OF VÖRĐUR ÓLAFSSON v. ICELAND,Iceland,is,11,2010,27/04/2010 00:00:00,Individual,True,1,0,11,,False,,0,
001-191929,30261/09,CASE OF MESHENGOV v. RUSSIA,Russian Federation,ru,3,2019,26/03/2019 00:00:00,Individual,True,1,0,3,,False,Alena Poláčková,4,Alena Poláčková|Dmitry Dedov|Jolien Schukking|Fatoş Aracı
001-157397,66177/11,CASE OF UDVARDY v. HUNGARY,Hungary,hu,6,2015,01/10/2015 00:00:00,Individual,True,1,0,6,,False,Elisabeth Steiner,3,Elisabeth Steiner|Mirjana Lazarova Trajkovska|Paulo Pinto de Albuquerque
001-90448,7496/03,CASE OF FİLİZ UYAN v. TURKEY,Turkey,tr,"3, 34",2009,08/01/2009 00:00:00,Individual,True,1,0,3,,True,Françoise Tulkens,8,Françoise Tulkens|Ireneu Cabral Barreto|Vladimiro Zagrebelsky|Danutė Jočienė|Dragoljub Popović|Nona Tsotsoria|Işıl Karakaş|Françoise Elens-Passos
001-200547,29068/10,CASE OF NICOLAOU v. CYPRUS,Cyprus,cy,2,2020,28/01/2020 00:00:00,Individual,True,1,0,2,,False,Paul Lemmens,8,Paul Lemmens|Georgios A. Serghides|Helen Keller|Alena Poláčková|María Elósegui|Gilberto Felici|Erik Wennerström|Stephen Phillips
001-170837,60042/13,CASE OF IGBO AND OTHERS v. GREECE,Greece,gr,"13, 3",2017,09/02/2017 00:00:00,Multiple Applicants,True,3,0,"3, 3, 13",,False,Mirjana Lazarova Trajkovska,8,Mirjana Lazarova Trajkovska|Kristina Pardalos|Linos-Alexandre Sicilianos|Aleš Pejchal|Robert Spano|Armen Harutyunyan|Tim Eicke|Abel Campos
001-203052,47443/14,CASE OF BOLJEVIC v. SERBIA,Serbia,rs,"41, 8",2020,16/06/2020 00:00:00,Individual,True,1,0,8,,True,Jon Fridrik Kjølbro,8,Jon Fridrik Kjølbro|Faris Vehabović|Branko Lubarda|Stéphanie Mourou-Vikström|Georges Ravarani|Jolien Schukking|Péter Paczolay|Andrea Tamietti
001-99087,63106/00,CASE OF VASIL SASHOV PETROV v. BULGARIA,Bulgaria,bg,"2, 35, 13, 41, 14",2010,10/06/2010 00:00:00,Individual,True,1,2,2,"2, 14",True,Peer Lorenzen,8,Peer Lorenzen|Karel Jungwiert|Rait Maruste|Mark Villiger|Isabelle Berro-Lefèvre|Mirjana Lazarova Trajkovska|Zdravka Kalaydjieva|Claudia Westerdiek
